Family,Genus,species,haploid,SCS
Scarabaeidae,Gymnopleurus,Gymnopleurus_miliaris,18,XY
Scarabaeidae,Gymnopleurus,Gymnopleurus_mundus,7,XY
Scarabaeidae,Gymnopleurus,Gymnopleurus_parvus,9,XY
Scarabaeidae,Gymnopleurus,Gymnopleurus_situs,9,XY
Scarabaeidae,Gymnopleurus,Gymnopleurus_sturmi,10,XY
Scarabaeidae,Haplidia,Haplidia_etrusca,9,NeoXY
Scarabaeidae,Haplidia,Haplidia_transversa,10,XY
Scarabaeidae,Heliocopris,Heliocopris_bucephalus,10,XY
Scarabaeidae,Heliocopris,Heliocopris_gigas,10,XY
Scarabaeidae,Holotrichia,Holotrichia_longipennis,9,XY
Scarabaeidae,Holotrichia,Holotrichia_problematica,10,XY
Scarabaeidae,Holotrichia,Holotrichia_serrata,10,XY
Scarabaeidae,Homaloplia,Homaloplia_ruricola,10,XO
Scarabaeidae,Hoplia,Hoplia_uniformis,10,XY
Scarabaeidae,Isocopris,Isocopris_inhiatus,9,XY
Scarabaeidae,Jumnos,Jumnos_ruckieri,7,NeoXY
Scarabaeidae,Lachnosterna,Lachnosterna_longipennis,10,XY
Scarabaeidae,Leucothyreus,Leucothyreus_guadulpiensis,10,XY
Scarabaeidae,Leucothyreus,Leucothyreus_nolleti,10,XY
Scarabaeidae,Ligyrodes,Ligyrodes_relictus,10,XY
Scarabaeidae,Ligyrus,Ligyrus_cuniculus,10,XY
Scarabaeidae,Ligyrus,Ligyrus_gibbosus,10,XY
Scarabaeidae,Lygirus,Lygirus_ebenus,10,XY
Scarabaeidae,Macraspis,Macraspis_dichroa,9,XY
Scarabaeidae,Macraspis,Macraspis_festiva,9,XY
Scarabaeidae,Macraspis,Macraspis_tristis,9,XY
Scarabaeidae,Maladera,Maladera_alcocki,10,XY
Scarabaeidae,Malagoniella,Malagoniella_sp.,10,XY
Scarabaeidae,Mecynorrhina,Mecynorrhina_polyphemus,10,XY
Scarabaeidae,Mecynorrhina,Mecynorrhina_torquata,10,XY
Scarabaeidae,Megalorrhina,Megalorrhina_harrisi,10,XY
Scarabaeidae,Megasoma,Megasoma_actaeon,10,XY
Scarabaeidae,Melolontha,Melolontha_fuscotestacea,10,XY
Scarabaeidae,Melolontha,Melolontha_hippocastani,10,XY
Scarabaeidae,Melolontha,Melolontha_melolontha,10,XY
Scarabaeidae,Melolontha,Melolontha_pectoralis,10,XY
Scarabaeidae,Microcopris,Microcopris_doriae,10,XY
Scarabaeidae,Microcopris,Microcopris_hidakai,10,XY
Scarabaeidae,Mimela,Mimela_glabra,10,XY
Scarabaeidae,Oniticellus,Oniticellus_pallipes,10,XY
Scarabaeidae,Onitis,Onitis_belial,10,XY
Scarabaeidae,Onitis,Onitis_crassus,10,XY
Scarabaeidae,Onitis,Onitis_ion,10,XY
Scarabaeidae,Onitis,Onitis_philemon,10,XY
Scarabaeidae,Ontherus,Ontherus_appendiculatus,10,XY
Scarabaeidae,Ontherus,Ontherus_sulcator,10,XY
Scarabaeidae,Onthophagus,Onthophagus_albicornis,10,XY
Scarabaeidae,Onthophagus,Onthophagus_bifasciatus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_bosus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_catta,10,XY
Scarabaeidae,Onthophagus,Onthophagus_coenobita,10,XY
Scarabaeidae,Onthophagus,Onthophagus_crassus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_dama,10,XY
Scarabaeidae,Onthophagus,Onthophagus_fasciatus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_fracticornis,10,XY
Scarabaeidae,Onthophagus,Onthophagus_furcatus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_gazelle,10,XY
Scarabaeidae,Onthophagus,Onthophagus_hecate,10,XY
Scarabaeidae,Onthophagus,Onthophagus_hirculus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_hirtus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_illyricus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_joane,10,XY
Scarabaeidae,Onthophagus,Onthophagus_lucidus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_marginicollis,10,XY
Scarabaeidae,Onthophagus,Onthophagus_massai,10,XY
Scarabaeidae,Onthophagus,Onthophagus_mopsus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_opacicollis,10,XY
Scarabaeidae,Onthophagus,Onthophagus_ovatus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_pacificus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_pennsylvanicus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_quadridens,10,XY
Scarabaeidae,Onthophagus,Onthophagus_quaestus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_ramosellus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_rufescens,10,XY
Scarabaeidae,Onthophagus,Onthophagus_ruficapillus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_similis,10,XY
Scarabaeidae,Onthophagus,Onthophagus_sp.,10,XY
Scarabaeidae,Onthophagus,Onthophagus_sp.,9,XY
Scarabaeidae,Onthophagus,Onthophagus_stratocirrus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_stylocerus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_taurus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_unifasciatus,10,XY
Scarabaeidae,Onthophagus,Onthophagus_vacca,10,XY
Scarabaeidae,Orizabus,Orizabus_cultripes,9,XY
Scarabaeidae,Orphnus,Orphnus_impressus,10,XY
Scarabaeidae,Orphnus,Orphnus_mysoriensis,10,XY
Scarabaeidae,Oryctes,Oryctes_rhinoceros,9,NeoXY
Scarabaeidae,Oryctes,Oryctes_rhinoceros,10,XY
Scarabaeidae,Oryctes,Oryctes_sicornis,9,NeoXY
Scarabaeidae,Oryctes,Oryctes_sicornis,9,XY
Scarabaeidae,Osmoderma,Osmoderma_eremita,9,NeoXY
Scarabaeidae,Osmoderma,Osmoderma_lassallei,9,NeoXY
Scarabaeidae,Osmoderma,Osmoderma_scabra,9,NeoXY
Scarabaeidae,Oxysternon,Oxysternon_silenus,10,XO
Scarabaeidae,Oxythyrea,Oxythyrea_funesta,10,XO
Scarabaeidae,Oxythyrea,Oxythyrea_funesta,10,XY
Scarabaeidae,Paracopris,Paracopris_ramosiceps,9,XY
Scarabaeidae,Paragymnopleurus,Paragymnopleurus_sinuatus,9,XY
Scarabaeidae,Pelidnota,Pelidnota_pallidipennis,10,XY
Scarabaeidae,Pelidnota,Pelidnota_punctata,10,XY
Scarabaeidae,Pelidnota,Pelidnota_sumptuosa,10,XY
Scarabaeidae,Pentodon,Pentodon_bidens,10,XO
Scarabaeidae,Pentodon,Pentodon_bispinifrons,10,XY
Scarabaeidae,Pentodon,Pentodon_idiota,10,XY
Scarabaeidae,Pentodon,Pentodon_sp.,10,XO
Scarabaeidae,Phalops,Phalops_divisus,10,XY
Scarabaeidae,Phalops,Phalops_olivaceous,10,XY
Scarabaeidae,Phanaeus,Phanaeus_chalcomelas,6,XY
Scarabaeidae,Phanaeus,Phanaeus_daphnis,6,NeoXY
Scarabaeidae,Phanaeus,Phanaeus_igneus,6,XY
Scarabaeidae,Phanaeus,Phanaeus_mexicanus,6,NeoXY
Scarabaeidae,Phanaeus,Phanaeus_sp.,7,XY
Scarabaeidae,Phanaeus,Phanaeus_splendidulus,10,XY
Scarabaeidae,Phanaeus,Phanaeus_vindex,6,NeoXY
Scarabaeidae,Phanaeus,Phanaeus_vindex,6,XY
Scarabaeidae,Phileurus,Phileurus_didymus,8,NeoXY
Scarabaeidae,Phileurus,Phileurus_valgus,10,XY
Scarabaeidae,Phyllognathus,Phyllognathus_dionysius,10,XY
Scarabaeidae,Phyllognathus,Phyllognathus_silensis,9,NeoXY
Scarabaeidae,Phyllopertha,Phyllopertha_campestris,10,XY
Scarabaeidae,Phyllophaga,Phyllophaga_delata,10,XY
Scarabaeidae,Phyllophaga,Phyllophaga_fusca,10,XY
Scarabaeidae,Phyllophaga,Phyllophaga_gracilis,10,XY
Scarabaeidae,Phyllophaga,Phyllophaga_pleei,10,XY
Scarabaeidae,Phyllophaga,Phyllophaga_sandersoniella,10,XY
Scarabaeidae,Phyllophaga,Phyllophaga_tristis,10,XY
Scarabaeidae,Plaesiorrhinella,Plaesiorrhinella_watkinsia,10,XY
Scarabaeidae,Pocalta,Pocalta_ursi,10,XY
Scarabaeidae,Popillia,Popillia_japonica,9,XY
Scarabaeidae,Propomacrus,Propomacrus_bimucronatus,10,XY
Scarabaeidae,Protaetia,Protaetia_angustata,10,XY
Scarabaeidae,Protaetia,Protaetia_aurichalcea,10,XY
Scarabaeidae,Protaetia,Protaetia_cuprea,10,XY
Scarabaeidae,Protaetia,Protaetia_fieberi,10,XY
Scarabaeidae,Protaetia,Protaetia_lugubris,10,XY
Scarabaeidae,Protaetia,Protaetia_mirifica,10,XY
Scarabaeidae,Protaetia,Protaetia_morio,10,XY
Scarabaeidae,Protaetia,Protaetia_opaca,10,XY
Scarabaeidae,Protaetia,Protaetia_speciosa,10,XY
Scarabaeidae,Protaetia,Protaetia_vidua,10,XO
